[0.7484647030882264] [0.5509397]
[0.6637376617017533] [0.5980877]
[0.7449493408203125] [0.57151514]
[0.6355378287010683] [0.65084076]
[0.6252909925288191] [0.6679855]
[0.5640060900462723] [0.72172767]
[0.6673234538598494] [0.66848487]
[0.5506783418438437] [0.71447414]
[0.506856463812697] [0.749423]
[0.6401970529178955] [0.68249255]
[0.5330330904584256] [0.7293109]
[0.4603548255683642] [0.7847016]
[0.45659287915031704] [0.78635013]
[0.5553622437690768] [0.73128915]
[0.43150557119226124] [0.8018464]
[0.4817366272830114] [0.7784372]
[0.434233182910406] [0.7972305]
[0.46654962122617205] [0.7893175]
[0.43784499516237146] [0.804484]
[0.3888463242487474] [0.8230303]
[0.5331428066618247] [0.7556874]
[0.39543358237288234] [0.82228816]
[0.40584405448976774] [0.8143752]
[0.3844116321892932] [0.8272338]
[0.3713254980470259] [0.83580613]
[0.38683451831517657] [0.82294756]
[0.3957083990205997] [0.82360697]
[0.35194994862956885] [0.8391032]
[0.3420475621723398] [0.84833497]
[0.3443492425625921] [0.85262114]
[0.3303553503003012] [0.8493241]
[0.34710070989016373] [0.8407517]
[0.34101602809483406] [0.8486647]
[0.3202318826839549] [0.86119354]
[0.3503073795848737] [0.84273]
[0.3163216033863856] [0.8588856]
[0.32152992952707143] [0.8598747]
[0.35283403318194795] [0.84371907]
[0.3239951766327274] [0.8542697]
[0.31351985377798447] [0.86515003]
[0.31247204825149444] [0.8621827]
[0.3177659017513815] [0.86251235]
[0.3217407036370033] [0.8615233]
[0.305487490726154] [0.8700956]
[0.30706372294062795] [0.8621827]
[0.29608262127096] [0.8718182]
[0.30561955118391565] [0.86515003]
[0.29952565425109673] [0.86778766]
[0.3142908326655066] [0.85723704]
[0.2944754347219901] [0.8743818]
[0.2910282801243483] [0.87108475]
[0.3002818916895741] [0.86515003]
[0.32005655582769454] [0.8513023]
[0.29196253654746934] [0.8753709]
[0.2968060510448603] [0.867458]
[0.29430496548214957] [0.8737224]
[0.2902581255761381] [0.87240356]
[0.2758836064240817] [0.8776789]
[0.2920582678858062] [0.87108475]
[0.2703027078471009] [0.8849324]
[0.28335441831724106] [0.8789977]
[0.27368371629337646] [0.88789976]
[0.28090971136423293] [0.8809759]
[0.281517881034154] [0.87734914]
[0.28821186092705214] [0.8691065]
[0.2785824065628203] [0.8789977]
