[0.4658305048942566] [0.79]
[0.4127605054527521] [0.856875]
[0.4393265030600808] [0.7990909]
[0.4144657989963889] [0.8415625]
[0.43233712762594223] [0.83125]
[0.3449433781206608] [0.87125]
[0.3768937112763524] [0.86125]
[0.37775889970362186] [0.8565625]
[0.36303601134568453] [0.8671875]
[0.36394002567976713] [0.861875]
[0.3123464728705585] [0.87875]
[0.34268120117485523] [0.8703125]
[0.30034025479108095] [0.8828125]
[0.32565597305074334] [0.8665625]
[0.30351332668215036] [0.88]
[0.3066836893558502] [0.8778125]
[0.2958576204255223] [0.891875]
[0.30253620259463787] [0.88375]
[0.26693280041217804] [0.8959375]
[0.28125800006091595] [0.89125]
[0.25312418287450617] [0.9054545]
[0.2759799896739423] [0.8921875]
[0.2708533485420048] [0.899375]
[0.24678441069342874] [0.9042424]
[0.2656246358528733] [0.8990625]
[0.25785409240052104] [0.9003125]
[0.26015746826305985] [0.9034375]
[0.244717582128942] [0.9103125]
[0.24255529744550586] [0.9084375]
[0.24087765207514167] [0.9103125]
[0.23103531496599317] [0.9171875]
[0.23256231844425201] [0.9118182]
[0.2078620488755405] [0.9265625]
[0.2278639622963965] [0.9140625]
[0.2201705714687705] [0.91625]
[0.2132597602903843] [0.9203125]
[0.23342921923507343] [0.9118182]
[0.23151673782955517] [0.9160606]
[0.2100546001456678] [0.9228125]
[0.22537793591618538] [0.920625]
[0.2251370777375996] [0.915625]
[0.22609959542751312] [0.916875]
[0.20937800453975797] [0.9203125]
[0.2183733812787316] [0.92333335]
[0.22123566875234246] [0.921875]
[0.22552341409027576] [0.91125]
[0.22616759920492768] [0.915]
[0.21133152255788445] [0.920625]
[0.20525427535176277] [0.923125]
[0.19051780086010695] [0.92875]
[0.20915013318881392] [0.9225]
[0.20687729911878705] [0.92625]
[0.20413858676329255] [0.9228125]
[0.19830374279990792] [0.9253125]
[0.19676100695505738] [0.9296875]
[0.22519853431731462] [0.918125]
[0.19840069813653827] [0.926875]
[0.18983189389109612] [0.926875]
[0.20403956342488527] [0.92375]
[0.20277775218710303] [0.9284375]
[0.19731068052351475] [0.9246875]
[0.190712446346879] [0.9296875]
[0.18952445732429624] [0.93125]
[0.1951903374865651] [0.9296875]
[0.1823200611397624] [0.9346875]
[0.18779423320665956] [0.931875]
[0.19321004464291036] [0.93375]
[0.18947407184168696] [0.9309375]
[0.19750160397961736] [0.92625]
[0.1922994931228459] [0.929375]
[0.18504206836223602] [0.933125]
[0.17975170724093914] [0.9378125]
[0.18809673702344298] [0.9275]
[0.19320705672726035] [0.929375]
[0.19004503032192588] [0.9334375]
[0.18118846183642745] [0.9359375]
[0.18599581765010953] [0.926875]
[0.1894056280143559] [0.9328125]
[0.18910180709578775] [0.92848486]
[0.1810627579689026] [0.9375]
[0.18050304520875216] [0.933125]
[0.1741236997768283] [0.9375]
[0.1868172015529126] [0.933125]
[0.17827323405072093] [0.9325]
[0.17747940914705396] [0.93375]
[0.17844839626923203] [0.935]
[0.1725106614176184] [0.9384375]
[0.17916282592341304] [0.935]
[0.17190958093851805] [0.93375]
[0.16920507396571338] [0.9359375]
[0.1752188573591411] [0.935]
[0.15814643632620573] [0.944375]
[0.17556229513138533] [0.9409375]
[0.16411879379302263] [0.9375]
[0.15922882547602057] [0.9428125]
[0.17403972195461392] [0.936875]
[0.17352519440464675] [0.938125]
[0.17123951436951756] [0.93875]
[0.1644743885844946] [0.938125]
[0.16261455020867288] [0.944375]
[0.1668162178248167] [0.9425]
[0.17298878263682127] [0.9334375]
[0.1614122516475618] [0.9390625]
[0.15936159412376583] [0.9446875]
[0.17795863328501582] [0.9340625]
[0.16011921502649784] [0.94125]
[0.1557165626436472] [0.93875]
[0.16684678732417524] [0.9421875]
[0.16206098280169748] [0.940303]
[0.17044868529774249] [0.940625]
[0.1540483864955604] [0.944375]
[0.15578157198615372] [0.945625]
[0.1692406120710075] [0.939375]
[0.15407987819476562] [0.9448485]
[0.17453603772446513] [0.93625]
[0.15141955390572548] [0.94375]
[0.1635938852559775] [0.9390625]
[0.15724920690990984] [0.9421875]
[0.14570443658158183] [0.945625]
[0.16451062029227614] [0.9375]
[0.1559124399315227] [0.9430303]
[0.15505474782548845] [0.9434375]
[0.160893012303859] [0.9425]
[0.15356303378939629] [0.945625]
[0.13960033375769854] [0.9503125]
