[0.7602023076704536] [0.5423673]
[0.6841753034398299] [0.57138145]
[0.715105296360397] [0.5393999]
[0.6438814192332335] [0.6238048]
[0.6519121898505855] [0.6482031]
[0.5634105596120232] [0.7108473]
[0.6634881544773468] [0.664029]
[0.5420081128175606] [0.7243653]
[0.5416239003045623] [0.7240356]
[0.6526814265255876] [0.68513024]
[0.49444870487165027] [0.75799537]
[0.559590176941733] [0.73722386]
[0.46897698545314437] [0.7698648]
[0.4628423981213782] [0.78074515]
[0.41442030668258667] [0.80545455]
[0.5116534832087516] [0.75469834]
[0.43589914997654544] [0.7942631]
[0.4112525943125037] [0.8147049]
[0.432442405133054] [0.80151665]
[0.40798933363338136] [0.80283546]
[0.39926715968978155] [0.8193208]
[0.40767756646329706] [0.81545454]
[0.40865107029529046] [0.80712163]
[0.3993467676179699] [0.81173754]
[0.43010132045703403] [0.798879]
[0.3728397792218111] [0.8311902]
[0.3544763348753445] [0.8387735]
[0.37336192554937037] [0.8328388]
[0.33890931890461257] [0.8529509]
[0.34800313007819783] [0.846027]
[0.3872297017970496] [0.82558525]
[0.3555632185570446] [0.8397626]
[0.32992334240857735] [0.84767556]
[0.3308278815682635] [0.8542697]
[0.3282681107815838] [0.85657763]
[0.357648963950626] [0.84371907]
[0.3151836632709475] [0.86844707]
[0.3260246048341519] [0.85163206]
[0.342289702415938] [0.85394]
[0.3288579174307286] [0.8486647]
[0.3588168040934939] [0.83020115]
[0.31814897166515316] [0.8681174]
[0.33002774837462767] [0.8493241]
[0.31449787172790095] [0.8598747]
[0.3372453444966223] [0.8542697]
[0.3056325737375888] [0.8694362]
[0.34634854658539055] [0.84174085]
[0.30407741182399906] [0.8783383]
[0.30112585917660556] [0.8691065]
[0.2990249029547713] [0.87734914]
[0.3004112490973298] [0.8654797]
[0.2966504617272687] [0.8747115]
[0.3020493499013484] [0.8687768]
[0.29576818484345013] [0.87240356]
[0.30059324809222027] [0.8667985]
[0.28208282752041763] [0.8809759]
[0.3516794373709653] [0.8513023]
[0.28341587092709] [0.87570065]
[0.2890687392680039] [0.8733927]
[0.2812826709211993] [0.87668973]
[0.2821874282185567] [0.87800854]
[0.27990854532263515] [0.8796571]
[0.293967337565889] [0.86317176]
[0.26836049795504496] [0.884273]
[0.28734111390882616] [0.8789977]
[0.28430433942762257] [0.8776789]
[0.2753977128530233] [0.88526213]
[0.26761824600066914] [0.8915265]
[0.28608064848697506] [0.87701946]
[0.30165163502023434] [0.86844707]
[0.26861233757228453] [0.8948236]
[0.27295936863688874] [0.8803165]
[0.2651977918150399] [0.88658094]
[0.26173284310114253] [0.88789976]
[0.25565211533851606] [0.89581275]
[0.26303224620786075] [0.88592154]
[0.26802526380494607] [0.8862512]
[0.2801311911184168] [0.8793274]
[0.26163282781161373] [0.8888889]
[0.26734559106779615] [0.88724035]
[0.2563754371731265] [0.895483]
[0.259223165825142] [0.8846027]
[0.2753174291107468] [0.8836136]
[0.25184471169753786] [0.8961424]
[0.2540974836321188] [0.89713156]
[0.2521344172656831] [0.89746124]
[0.2482955287165505] [0.8984504]
[0.2512293555557315] [0.8981207]
[0.24064332924105905] [0.9066667]
[0.24043723268749453] [0.90174747]
[0.2475886225965681] [0.8987801]
[0.2449013853609621] [0.9030663]
[0.24514127595665194] [0.9000989]
[0.24865995909793912] [0.89746124]
[0.24155024846630682] [0.89746124]
[0.23841197039972545] [0.895483]
[0.23802168870715076] [0.9030663]
[0.23204521134746298] [0.9050445]
[0.23898622258009] [0.8994395]
[0.2481823878843636] [0.8938345]
[0.23057822210292317] [0.90339595]
[0.23575688085772775] [0.8993939]
[0.2311718884549674] [0.9057039]
[0.23275430690640866] [0.9043851]
[0.22346308593049602] [0.91064954]
[0.240729798607963] [0.8994395]
[0.23136929971645895] [0.90735245]
[0.23105094212629676] [0.9096604]
[0.2289211164743563] [0.9109792]
[0.221407669440693] [0.90999013]
[0.23165593699401965] [0.90174747]
[0.2310627567720932] [0.9040554]
[0.23110683437742655] [0.8997692]
[0.21573468830535958] [0.9129575]
[0.22327053207907785] [0.90669304]
[0.21760786517083822] [0.9122981]
[0.2232542989515763] [0.9070228]
[0.22301039145384297] [0.90735245]
[0.22440227707728197] [0.9053742]
[0.21188841481590837] [0.914606]
[0.22109290594870684] [0.9070228]
[0.22612919471973716] [0.9047148]
[0.20926862738429616] [0.91196835]
[0.21677814724714184] [0.91328716]
[0.21611947550794844] [0.9109792]
[0.2123466888415] [0.9169139]
[0.21392948954973212] [0.91130894]
[0.21653390632303013] [0.9136169]
[0.20552065020257776] [0.919697]
[0.20618726243103766] [0.9155951]
[0.1990478095827895] [0.9251566]
[0.2069367862184017] [0.9155951]
[0.20287908581255923] [0.9162545]
[0.20040406127534918] [0.9142763]
[0.20923668520504832] [0.91262776]
[0.20328123920572264] [0.9129575]
[0.2180271704195751] [0.9116386]
[0.19935477026079576] [0.9185625]
[0.19806225868788632] [0.91636366]
[0.19825679043162353] [0.91592485]
[0.19561332252713032] [0.9205407]
[0.19540062027916122] [0.92251897]
[0.18876505511215014] [0.9185625]
[0.20092512953116326] [0.9185625]
[0.20151669305816483] [0.9188922]
[0.1938399778629269] [0.9182328]
[0.20127081742803138] [0.92120016]
[0.19387282566590744] [0.9206061]
[0.19081799392648313] [0.9208704]
[0.1933860010168083] [0.9238378]
[0.18445412342968137] [0.92746454]
[0.1971768713993795] [0.91790307]
[0.2001320385437691] [0.91757333]
[0.1835831645452422] [0.92680514]
[0.1872085135072676] [0.9195516]
[0.18668503788384525] [0.9248485]
[0.18510375458573966] [0.92878336]
[0.19002408912344573] [0.92251897]
[0.1777550844893847] [0.92878336]
[0.18017906936587494] [0.9231784]
[0.18663225873464648] [0.9238378]
[0.18526229440694275] [0.92185956]
[0.19482805027924] [0.9208704]
[0.18453289114462043] [0.9231784]
[0.1757602661287985] [0.9301022]
[0.18945263217099226] [0.92185956]
[0.19105565095454838] [0.9248269]
[0.20098397368611262] [0.9142763]
[0.18116439762502232] [0.9254863]
[0.18145289931641606] [0.9244972]
[0.17455734022175404] [0.92647547]
[0.19218778769411035] [0.9271349]
[0.16749831356785513] [0.93]
[0.174086697053249] [0.9310913]
[0.17184005318067666] [0.93076164]
[0.18292185540369074] [0.91757333]
[0.17232793852554232] [0.92812395]
[0.1739549275144979] [0.9277943]
[0.1693632385880492] [0.9324102]
[0.177729653852276] [0.9301022]
[0.1751960011311502] [0.9301022]
[0.17023607823190773] [0.93208045]
[0.1746480942258849] [0.9310913]
[0.18072071593369032] [0.9271349]
[0.16941039759433588] [0.93273985]
[0.176137137837509] [0.92878336]
[0.17360797188402283] [0.9301022]
[0.17144361150135037] [0.93076164]
[0.17160988863627588] [0.93273985]
[0.1715551717271319] [0.93208045]
[0.16624128948215444] [0.92878336]
[0.17179638652902918] [0.9310913]
[0.1710658153974102] [0.92812395]
[0.17669409759615343] [0.92614573]
[0.17904052906969062] [0.92120016]
[0.15225210628158142] [0.939334]
[0.16579573104778925] [0.93208045]
